bird_sci_name,bird_comm_eng_name,bird_body_colours,bird_sex,bird_size,bird_image
Treron phoenicoptera,Yellow-footed Green-Pigeon,"Yellow,Green,Grey,Orange,Brown,White,Pink",M/F,Pigeon,http://en.wikipedia.org/wiki/Yellow-footed_Green_Pigeon
Psittacula cyanocephala ,Plum-headed Parakeet,"Green,Yellow,Pink,Blue,White",M,Crow -,http://en.wikipedia.org/wiki/Plum-headed_Parakeet
Psittacula cyanocephala ,Plum-headed Parakeet,"Green,Yellow,Grey,Blue,White",F,Crow -,http://en.wikipedia.org/wiki/Plum-headed_Parakeet
Psittacula krameri,Rose-ringed Parakeet ,"Green,Blue,Black,Pink,Yellow,Red",M,Crow -,http://en.wikipedia.org/wiki/Rose-ringed_Parakeet
Psittacula krameri,Rose-ringed Parakeet,"Green,Blue,Yellow,Red",F,Crow -,http://en.wikipedia.org/wiki/Rose-ringed_Parakeet
Cacomantis passerinus,Grey-bellied Cuckoo,"Grey,White,Black,Yellow",M,Crow -,http://en.wikipedia.org/wiki/Grey-bellied_Cuckoo
Cacomantis passerinus,Grey-bellied Cuckoo,"Yellow,Brown,White",F,Crow -,http://en.wikipedia.org/wiki/Grey-bellied_Cuckoo
Cuculus micropterus,Indian Cuckoo,"Grey,White,Grey,Black,Yellow",M/F,Crow -,http://en.wikipedia.org/wiki/Indian_Cuckoo
Clamator jacobinus,Jacobin Cuckoo (Pied Cuckoo),"Black,White,Grey",M/F,Crow -,http://en.wikipedia.org/wiki/Jacobin_Cuckoo
Eudynamys scolopacea,Asian Koel,"Black,Grey",M,Crow -,http://en.wikipedia.org/wiki/Asian_Koel
Eudynamys scolopacea,Asian Koel,"White,Brown ",F,Crow -,http://en.wikipedia.org/wiki/Asian_Koel
Centropus sinensis,Greater Coucal,"Black,Brown,Grey",M/F,Crow,http://en.wikipedia.org/wiki/Greater_Coucal
Caprimulgus indicus ,Grey Nightjar,"Grey,Brown,Brown,White",M/F,Myna +,http://en.wikipedia.org/wiki/Grey_Nightjar
Caprimulgus asiaticus,Indian Little Nightjar (Indian Nightjar),"Brown,Orange,Grey,White",M/F,Crow - ,http://en.wikipedia.org/wiki/Indian_Nightjar
Caprimulgus affinis,Savanna Nightjar,"Brown,Orange,White,Grey",M/F,Crow -,http://en.wikipedia.org/wiki/Savanna_Nightjar
Ketupa zeylonensis,Brown Fish-Owl,"Brown,Black,White",M/F,Kite +,http://en.wikipedia.org/wiki/Brown_Fish_Owl
Tyto alba,Common Barn-owl (Barn Owl),"Blue,Grey,Yellow,Brown,White,Black",M/F,Kite +,http://en.wikipedia.org/wiki/Barn_Owl
Bubo bubo,Eurasian Eagle-owl,"Brown,Grey,White",M/F,Kite +,http://en.wikipedia.org/wiki/Eurasian_Eagle-Owl
